team_name,player_name,starting_position,xT_value,minutes_played
Internacional,Clayton,Sub,0.1362571762487051,531
Fluminense,Keno,Sub,0.13621285643423872,367
Vasco da Gama,Luiz Gustavo,Sub,0.13519228624730964,328
Vasco da Gama,Benjamín Garré,AMR,0.13501847724129162,341
Corinthians,Hugo,DL,0.1346947721737905,168
Cruzeiro,Gabriel Barbosa,FW,0.13244263592234828,620
Internacional,Rafael Borré,FW,0.1317265198343496,918
Fortaleza,David Luiz,Sub,0.1304008373053944,447
Red Bull Bragantino,Matheus Fernandes,DMC,0.13034979759947604,400
Cruzeiro,Jonathan,DC,0.12960685235813343,425
Internacional,Sergio Rochet,GK,0.12791100255823643,747
Palmeiras,Allan,Sub,0.1276425116006174,397
Cruzeiro,Matheus Henrique,DMC,0.125167278675533,404
Vitoria,Pepê,MC,0.12474055170764017,569
Ceara,Paulo Baya,Sub,0.12435893695990641,122
Botafogo RJ,Patrick de Paula,MC,0.12295638895621185,311
Vasco da Gama,Lukas Zuccarello,Sub,0.12154971306288749,34
Corinthians,Dieguinho,Sub,0.11982227229870598,151
Corinthians,Charles,Sub,0.11886667265668532,428
Sport Recife,Lenny Lobato,ML,0.11775666075503882,297
Fluminense,Agustín Canobbio,AML,0.11668759087754257,867
Sport Recife,Gabriel Vasconcelos,GK,0.11653291197810826,806
Atletico MG,Iván Román,DC,0.11607740083514442,296
Fortaleza,José Herrera,Sub,0.11482139559242192,307
Juventude,Gustavo,GK,0.1128015660883734,956
Flamengo,Evertton Araújo,Sub,0.11092831556623632,724
Vitoria,Neris,DC,0.1100820608221183,229
Vasco da Gama,Jair,Sub,0.10884589906229107,579
Ceara,Bruno Tubarão,Sub,0.10824199602128275,143
Internacional,Agustín Rogel,Sub,0.10799111029344995,506
Vasco da Gama,Adson,Sub,0.10786486290676502,263
Bahia,Ronaldo,GK,0.10518627648892931,828
Gremio,Nathan,Sub,0.10409689989993516,97
Santos FC,Diego Pituca,Sub,0.10266622039458129,440
Vasco da Gama,Mateus Carvalho,Sub,0.10129379813884827,384
Fluminense,Ignácio,Sub,0.10024082563623501,579
Sport Recife,Fabricio Domínguez,Sub,0.10022361547113892,130
Atletico MG,Júnior Santos,Sub,0.0985347439065018,432
Fortaleza,Calebe,Sub,0.09767048245950427,260
Sao Paulo,Rodriguinho,Sub,0.09427512869147786,480
Sao Paulo,Henrique Carmo,Sub,0.09296900330078689,61
Red Bull Bragantino,Praxedes,Sub,0.0915507243694725,310
Sport Recife,Dalbert,Sub,0.09111122798408633,141
Sao Paulo,Jonathan Calleri,FW,0.08945191594849157,124
Atletico MG,Alexsander,DMC,0.08607651545511831,252
Vitoria,Renzo López,Sub,0.0835142501035185,186
Juventude,Rodrigo Sam,Sub,0.08047776601918845,412
Ceara,Rômulo,Sub,0.08026575540138488,204
Internacional,Nathan,Sub,0.07893148396715756,102
Fortaleza,Kervin Andrade,Sub,0.07843882043833729,203
Mirassol,Alex Muralha,GK,0.07691926351821361,616
Bahia,Tiago,Sub,0.07685922921484153,224
Santos FC,Zé Rafael,Sub,0.07658142277995784,697
Red Bull Bragantino,Eduardo Santos,Sub,0.0765694380674809,344
Vasco da Gama,Paulinho Paula,DMC,0.07575379314851059,249
